ADM_name,ISO3,Date,Name,Type,Season
Aruba,ABW,1/1/2010,New Year's Day,Public holiday,Winter
Aruba,ABW,1/25/2010,Betico Croes' Birthday,Public holiday,Winter
Aruba,ABW,2/15/2010,Carnival Monday,Public holiday,Winter
Aruba,ABW,3/18/2010,National Anthem and Flag Day,Public holiday,Spring
Aruba,ABW,4/2/2010,Good Friday,Public holiday,Spring
Aruba,ABW,4/5/2010,Easter Monday,Public holiday,Spring
Aruba,ABW,4/27/2010,King's Day,Public holiday,Spring
Aruba,ABW,5/1/2010,Labor Day,Public holiday,Spring
Aruba,ABW,5/13/2010,Ascension Day,Public holiday,Spring
Aruba,ABW,12/25/2010,Christmas Day,Public holiday,Winter
Aruba,ABW,12/26/2010,Boxing Day,Public holiday,Winter
Aruba,ABW,1/1/2011,New Year's Day,Public holiday,Winter
Aruba,ABW,1/25/2011,Betico Croes' Birthday,Public holiday,Winter
Aruba,ABW,3/7/2011,Carnival Monday,Public holiday,Spring
Aruba,ABW,3/18/2011,National Anthem and Flag Day,Public holiday,Spring
Aruba,ABW,4/22/2011,Good Friday,Public holiday,Spring
Aruba,ABW,4/25/2011,Easter Monday,Public holiday,Spring
Aruba,ABW,4/27/2011,King's Day,Public holiday,Spring
Aruba,ABW,5/1/2011,Labor Day,Public holiday,Spring
Aruba,ABW,6/2/2011,Ascension Day,Public holiday,Summer
Aruba,ABW,12/25/2011,Christmas Day,Public holiday,Winter
Aruba,ABW,12/26/2011,Boxing Day,Public holiday,Winter
Aruba,ABW,1/1/2012,New Year's Day,Public holiday,Winter
Aruba,ABW,1/25/2012,Betico Croes' Birthday,Public holiday,Winter
Aruba,ABW,2/20/2012,Carnival Monday,Public holiday,Winter
Aruba,ABW,3/18/2012,National Anthem and Flag Day,Public holiday,Spring
Aruba,ABW,4/6/2012,Good Friday,Public holiday,Spring
Aruba,ABW,4/9/2012,Easter Monday,Public holiday,Spring
Aruba,ABW,4/27/2012,King's Day,Public holiday,Spring
Aruba,ABW,5/1/2012,Labor Day,Public holiday,Spring
Aruba,ABW,5/17/2012,Ascension Day,Public holiday,Spring
Aruba,ABW,12/25/2012,Christmas Day,Public holiday,Winter
Aruba,ABW,12/26/2012,Boxing Day,Public holiday,Winter
Aruba,ABW,1/1/2013,New Year's Day,Public holiday,Winter
Aruba,ABW,1/25/2013,Betico Croes' Birthday,Public holiday,Winter
Aruba,ABW,2/11/2013,Carnival Monday,Public holiday,Winter
Aruba,ABW,3/18/2013,National Anthem and Flag Day,Public holiday,Spring
Aruba,ABW,3/29/2013,Good Friday,Public holiday,Spring
Aruba,ABW,4/1/2013,Easter Monday,Public holiday,Spring
Aruba,ABW,4/27/2013,King's Day,Public holiday,Spring
Aruba,ABW,5/1/2013,Labor Day,Public holiday,Spring
Aruba,ABW,5/9/2013,Ascension Day,Public holiday,Spring
Aruba,ABW,12/25/2013,Christmas Day,Public holiday,Winter
Aruba,ABW,12/26/2013,Boxing Day,Public holiday,Winter
Aruba,ABW,1/1/2014,New Year's Day,Public holiday,Winter
Aruba,ABW,1/25/2014,Betico Croes' Birthday,Public holiday,Winter
Aruba,ABW,3/3/2014,Carnival Monday,Public holiday,Spring
Aruba,ABW,3/18/2014,National Anthem and Flag Day,Public holiday,Spring
Aruba,ABW,4/18/2014,Good Friday,Public holiday,Spring
Aruba,ABW,4/21/2014,Easter Monday,Public holiday,Spring
Aruba,ABW,4/27/2014,King's Day,Public holiday,Spring
Aruba,ABW,4/29/2014,Ascension Day,Public holiday,Spring
Aruba,ABW,5/1/2014,Labor Day,Public holiday,Spring
Aruba,ABW,12/25/2014,Christmas Day,Public holiday,Winter
Aruba,ABW,12/26/2014,Boxing Day,Public holiday,Winter
Aruba,ABW,1/1/2015,New Year's Day,Public holiday,Winter
Aruba,ABW,1/25/2015,Betico Croes' Birthday,Public holiday,Winter
Aruba,ABW,2/16/2015,Carnival Monday,Public holiday,Winter
Aruba,ABW,3/18/2015,National Anthem and Flag Day,Public holiday,Spring
Aruba,ABW,4/3/2015,Good Friday,Public holiday,Spring
Aruba,ABW,4/6/2015,Easter Monday,Public holiday,Spring
Aruba,ABW,4/27/2015,King's Day,Public holiday,Spring
Aruba,ABW,5/1/2015,Labor Day,Public holiday,Spring
Aruba,ABW,5/14/2015,Ascension Day,Public holiday,Spring
Aruba,ABW,12/25/2015,Christmas Day,Public holiday,Winter
Aruba,ABW,12/26/2015,Boxing Day,Public holiday,Winter
Aruba,ABW,1/1/2016,New Year's Day,Public holiday,Winter
Aruba,ABW,1/25/2016,Betico Croes' Birthday,Public holiday,Winter
Aruba,ABW,2/8/2016,Carnival Monday,Public holiday,Winter
Aruba,ABW,3/18/2016,National Anthem and Flag Day,Public holiday,Spring
Aruba,ABW,3/25/2016,Good Friday,Public holiday,Spring
Aruba,ABW,3/28/2016,Easter Monday,Public holiday,Spring
Aruba,ABW,4/27/2016,King's Day,Public holiday,Spring
Aruba,ABW,5/1/2016,Labor Day,Public holiday,Spring
Aruba,ABW,5/2/2016,Day off for Labor Day,Public holiday,Spring
Aruba,ABW,5/5/2016,Ascension Day,Public holiday,Spring
Aruba,ABW,12/25/2016,Christmas Day,Public holiday,Winter
Aruba,ABW,12/26/2016,Boxing Day,Public holiday,Winter
Aruba,ABW,1/1/2017,New Year's Day,Public holiday,Winter
Aruba,ABW,1/25/2017,Betico Croes' Birthday,Public holiday,Winter
Aruba,ABW,2/27/2017,Carnival Monday,Public holiday,Winter
Aruba,ABW,3/18/2017,National Anthem and Flag Day,Public holiday,Spring
Aruba,ABW,4/14/2017,Good Friday,Public holiday,Spring
Aruba,ABW,4/17/2017,Easter Monday,Public holiday,Spring
Aruba,ABW,4/27/2017,King's Day,Public holiday,Spring
Aruba,ABW,5/1/2017,Labor Day,Public holiday,Spring
Aruba,ABW,5/25/2017,Ascension Day,Public holiday,Spring
Aruba,ABW,12/25/2017,Christmas Day,Public holiday,Winter
Aruba,ABW,12/26/2017,Boxing Day,Public holiday,Winter
Aruba,ABW,1/1/2018,New Year's Day,Public holiday,Winter
Aruba,ABW,1/25/2018,Betico Croes' Birthday,Public holiday,Winter
Aruba,ABW,2/12/2018,Carnival Monday,Public holiday,Winter
Aruba,ABW,3/18/2018,National Anthem and Flag Day,Public holiday,Spring
Aruba,ABW,3/30/2018,Good Friday,Public holiday,Spring
Aruba,ABW,4/2/2018,Easter Monday,Public holiday,Spring
Aruba,ABW,4/27/2018,King's Day,Public holiday,Spring
Aruba,ABW,5/1/2018,Labor Day,Public holiday,Spring
Aruba,ABW,5/10/2018,Ascension Day,Public holiday,Spring
Aruba,ABW,12/25/2018,Christmas Day,Public holiday,Winter
Aruba,ABW,12/26/2018,Boxing Day,Public holiday,Winter
Aruba,ABW,1/1/2019,New Year's Day,Public holiday,Winter
Aruba,ABW,1/25/2019,Betico Croes' Birthday,Public holiday,Winter
Aruba,ABW,3/4/2019,Carnival Monday,Public holiday,Spring
Aruba,ABW,3/18/2019,National Anthem and Flag Day,Public holiday,Spring
Aruba,ABW,4/19/2019,Good Friday,Public holiday,Spring
Aruba,ABW,4/22/2019,Easter Monday,Public holiday,Spring
Aruba,ABW,4/27/2019,King's Day,Public holiday,Spring
Aruba,ABW,5/1/2019,Labor Day,Public holiday,Spring
Aruba,ABW,5/30/2019,Ascension Day,Public holiday,Spring
Aruba,ABW,12/25/2019,Christmas Day,Public holiday,Winter
Aruba,ABW,12/26/2019,Boxing Day,Public holiday,Winter
Afghanistan,AFG,12/13/2014,Arba'een,Observance,Winter
Afghanistan,AFG,12/2/2015,Arba'een,Observance,Winter
Afghanistan,AFG,11/20/2016,Arba'een,Observance,Fall
Philippines,PHL,11/2/2018,Additional Special Non-Working Day,Special holiday,Fall
Afghanistan,AFG,11/9/2017,Arba'een,Observance,Fall
Afghanistan,AFG,10/30/2018,Arba'een,Observance,Fall
